# Java Audiveris 5.11 (Temurin JDK 25) raw STEM_SEEDS candidates.
# Generated by StemSeedsProbe from HEADERS plus StemScaler; the probe
# reflectively calls VerticalsBuilder.retrieveCandidates() and never
# calls checkVerticals(), so these are StickFactory outputs, not seeds.
#
# stemseedinput section digests cover tag/id, position, bounds, weight,
# and every run in Java order. Candidate members retain the compound's
# mixed-orientation order; v/h tags disambiguate the two lag id spaces.
# All floating-point values are Double.toHexString exact encodings.
# Summary digests are FNV-1a-64 over exact record rows plus newline.
#
# Regenerate from the repository root:
#   env -u JAVA_TOOL_OPTIONS JAVA_HOME=/path/to/jdk25/Contents/Home \
#     ./gradlew --no-daemon -q \
#     -I rust/oracle/java/staff-impacts.init.gradle :app:stemSeedsProbe \
#     '-PstemSeedTargets=data/examples/chula.png:1 ...'
stemseedsheet chula.png#1 systems 3
stemseedinput chula.png#1 system 1 profile 1 left 201 right 2327 interline 21 maxStem 4 minCore 32 minSide 0x1.999999999999ap-2 vertical 1321 37f0ff76ff47862d stickers 642 ec0b76655c693264
stemseedcandidate chula.png#1 system 1 ordinal 23 members v2211,h970,v2212,v2213 bounds 1404 370 3 94 weight 191 start 0x1.5f5df3b7ed5dcp10 0x1.72p8 stop 0x1.5f5bb68efefc7p10 0x1.cfp8 thickness 0x1.0415c9882b931p1 distance 0x1.26a7ed15b52fdp-1
stemseedcandidate chula.png#1 system 1 ordinal 24 members h936,v2984,v2985,v2986 bounds 2095 382 3 96 weight 237 start 0x1.06140b4a4acb8p11 0x1.7ep8 stop 0x1.05f6a459bc0c2p11 0x1.ddp8 thickness 0x1.3cp1 distance 0x1.7121983bf6f34p-1
stemseedcandidate chula.png#1 system 1 ordinal 25 members v1271,v1272,v1273,v1274 bounds 543 585 3 97 weight 228 start 0x1.10395f5886c04p9 0x1.248p9 stop 0x1.1006e0c832e9ep9 0x1.548p9 thickness 0x1.2cddb0d3224f3p1 distance 0x1.7234995326307p-1
stemseedcandidate chula.png#1 system 1 ordinal 26 members v2814,v2816,v2820,h979 bounds 1908 394 3 96 weight 192 start 0x1.dd2ca6cb421b6p10 0x1.8ap8 stop 0x1.dd1c978c80cc4p10 0x1.e9p8 thickness 0x1.0p1 distance 0x1.27c4386d63d28p-1
stemseedcandidate chula.png#1 system 1 ordinal 27 members v1840,v1842,v1844,h846 bounds 1141 319 3 92 weight 221 start 0x1.1d8c415e605bfp10 0x1.3fp8 stop 0x1.1d55fbb051462p10 0x1.9ap8 thickness 0x1.337a6f4de9bd3p1 distance 0x1.6727166fc8321p-1
stemseedcandidate chula.png#1 system 1 ordinal 28 members h1199,v2493,v2495,v2496,h1165 bounds 1617 591 4 91 weight 188 start 0x1.94a397b088c7bp10 0x1.278p9 stop 0x1.9497e0253129dp10 0x1.548p9 thickness 0x1.0870870870871p1 distance 0x1.2feb6f7a324cbp-1
stemseedcandidate chula.png#1 system 1 ordinal 29 members v2765,v2767,v2771,h977,v2772,h992,v2773,v2774 bounds 1859 402 4 92 weight 240 start 0x1.d12f9f28b90c5p10 0x1.92p8 stop 0x1.d136dda6d1e5p10 0x1.edp8 thickness 0x1.4de9bd37a6f4ep1 distance 0x1.9ecca637bf34ap-1
stemseedcandidate chula.png#1 system 1 ordinal 30 members v626,v640 bounds 202 350 2 91 weight 99 start 0x1.948f67b5f18cfp7 0x1.5ep8 stop 0x1.93be7dfb51f8ap7 0x1.b8p8 thickness 0x1.1681681681681p0 distance 0x1.093dc29fc4f42p-2
stemseedcandidate chula.png#1 system 1 ordinal 31 members v1415 bounds 692 368 2 90 weight 179 start 0x1.5a416e16b0556p9 0x1.7p8 stop 0x1.5a3f4c0601fb2p9 0x1.c9p8 thickness 0x1.fd27d27d27d28p0 distance 0x1.fff7d11350019p-2
stemseedcandidate chula.png#1 system 1 ordinal 32 members v2246,v2248,v2250,h1243,v2251 bounds 1446 600 3 92 weight 226 start 0x1.69dd8f591f357p10 0x1.2cp9 stop 0x1.699bdcdad8b0ep10 0x1.598p9 thickness 0x1.3a6f4de9bd37ap1 distance 0x1.724b3f6d38f9cp-1
stemseedcandidate chula.png#1 system 1 ordinal 33 members v1315,v1316,v1320,v1329,v1330,v1335 bounds 601 594 4 89 weight 224 start 0x1.2d41c66687b16p9 0x1.29p9 stop 0x1.2d0ba3e86f209p9 0x1.55p9 thickness 0x1.42284508a1142p1 distance 0x1.8dfdef7e5eeffp-1
stemseedcandidate chula.png#1 system 1 ordinal 34 members v1656,v1657,v1658,h1281,h1283,h1288 bounds 970 597 3 89 weight 213 start 0x1.e5d2a7b1bc97ep9 0x1.2a8p9 stop 0x1.e54d440f84cc3p9 0x1.568p9 thickness 0x1.32564ac9592b2p1 distance 0x1.65ddc06706de5p-1
stemseedcandidate chula.png#1 system 1 ordinal 35 members v1718,h997,h1012,v1722,v1725 bounds 1019 388 3 89 weight 225 start 0x1.fe16e98b22844p9 0x1.84p8 stop 0x1.fe12234da2bdcp9 0x1.dcp8 thickness 0x1.4398730e61cc4p1 distance 0x1.8e610e9436577p-1
stemseedcandidate chula.png#1 system 1 ordinal 36 members v1217,v1220,h882,v1223,v1224 bounds 497 373 3 88 weight 193 start 0x1.f1c8b80494915p8 0x1.75p8 stop 0x1.f182315221c18p8 0x1.ccp8 thickness 0x1.18ba2e8ba2e8cp1 distance 0x1.4ad70751694c2p-1
stemseedcandidate chula.png#1 system 1 ordinal 37 members v1783,v1784,v1787,v1790,h1231 bounds 1080 598 3 91 weight 209 start 0x1.0e62a57509599p10 0x1.2bp9 stop 0x1.0e0f6b9539fb2p10 0x1.58p9 thickness 0x1.25fa5fa5fa5fap1 distance 0x1.56df68d3cd266p-1
stemseedcandidate chula.png#1 system 1 ordinal 38 members v2084,v2087,v2091 bounds 1316 600 3 88 weight 216 start 0x1.4953e66547e64p10 0x1.2cp9 stop 0x1.4916650afb207p10 0x1.578p9 thickness 0x1.3a2e8ba2e8ba3p1 distance 0x1.6abd1655c1d3ap-1
stemseedcandidate chula.png#1 system 1 ordinal 39 members h858,h863,v1314,v1319,v1326,v1327,v1328 bounds 601 373 3 88 weight 227 start 0x1.2d1deafee9716p9 0x1.75p8 stop 0x1.2cc562813a8cdp9 0x1.ccp8 thickness 0x1.4a2e8ba2e8ba3p1 distance 0x1.82a98c15601b2p-1
stemseedcandidate chula.png#1 system 1 ordinal 40 members h1226,v2594,v2595,v2598,v2599,h1170,v2600 bounds 1727 568 4 89 weight 234 start 0x1.b04c322533fb3p10 0x1.1cp9 stop 0x1.b031f740b1d5ep10 0x1.48p9 thickness 0x1.508a114228451p1 distance 0x1.99925d72a1e6ap-1
stemseedcandidate chula.png#1 system 1 ordinal 41 members h1291,v2888,v2889,h1228,v2892,v2895,v2901,v2902 bounds 1993 646 4 88 weight 233 start 0x1.f2d7ae1a9d943p10 0x1.43p9 stop 0x1.f27fc1711e9f5p10 0x1.6e8p9 thickness 0x1.52e8ba2e8ba2fp1 distance 0x1.8dc80362fd9c2p-1
